TpepPickupDatetime,TpepDropoffDatetime,PassengerCount,TripDistance,StoreAndFwdFlag,PULocationID,DOLocationID,FareAmount,TipAmount
1/1/2020 1:33:10 AM,1/1/2020 2:06:57 AM,1,5.9,No,161,226,25,0
1/1/2020 1:33:10 AM,1/1/2020 2:06:57 AM,1,5.9,No,161,226,25,0
1/1/2020 12:54:28 AM,1/1/2020 12:58:41 AM,1,0.6,No,170,137,-4.5,0
1/1/2020 12:54:28 AM,1/1/2020 12:58:41 AM,1,0.6,No,170,137,4.5,0
1/1/2020 12:57:13 AM,1/1/2020 12:58:05 AM,1,0.11,No,260,260,-2.5,0
1/1/2020 12:57:13 AM,1/1/2020 12:58:05 AM,1,0.11,No,260,260,2.5,0
1/1/2020 12:36:31 AM,1/1/2020 12:37:23 AM,3,0.18,No,141,141,-3,0
1/1/2020 12:36:31 AM,1/1/2020 12:37:23 AM,3,0.18,No,141,141,3,0
1/1/2020 12:23:15 AM,1/1/2020 12:23:54 AM,2,0.09,No,114,114,-2.5,0
1/1/2020 12:23:15 AM,1/1/2020 12:23:54 AM,2,0.09,No,114,114,2.5,0
1/1/2020 12:48:19 AM,1/1/2020 1:01:58 AM,1,5.8,No,87,141,18,4
1/1/2020 12:48:19 AM,1/1/2020 1:01:58 AM,1,1.08,No,43,162,9,3.2
1/1/2020 12:13:39 AM,1/1/2020 12:24:26 AM,2,1.26,No,249,68,-8.5,0
1/1/2020 12:13:39 AM,1/1/2020 12:24:26 AM,2,1.26,No,249,90,8.5,0
1/1/2020 4:44:29 AM,1/1/2020 4:44:36 AM,4,0,No,265,265,-70,0
1/1/2020 4:44:29 AM,1/1/2020 4:44:36 AM,4,0,No,265,265,70,0
1/1/2020 12:44:55 AM,1/1/2020 12:51:10 AM,2,1.85,No,48,238,7.5,0
1/1/2020 12:44:55 AM,1/1/2020 12:51:10 AM,2,1.85,No,48,238,7.5,0
1/1/2020 12:18:16 AM,1/1/2020 12:18:42 AM,1,0.03,No,164,164,-2.5,0
1/1/2020 12:18:16 AM,1/1/2020 12:18:42 AM,1,0.03,No,164,164,2.5,0
1/1/2020 12:44:29 AM,1/1/2020 12:47:34 AM,2,0.39,No,79,79,-4,0
1/1/2020 12:44:29 AM,1/1/2020 12:47:34 AM,2,0.39,No,79,79,4,0
1/1/2020 12:42:44 AM,1/1/2020 12:44:24 AM,1,0.04,No,48,48,-3,0
1/1/2020 12:42:44 AM,1/1/2020 12:44:24 AM,1,0.04,No,48,48,3,0
1/1/2020 12:21:30 AM,1/1/2020 12:29:12 AM,2,0.78,No,114,113,-6.5,0
1/1/2020 12:21:30 AM,1/1/2020 12:29:12 AM,2,0.78,No,114,113,6.5,0
1/1/2020 2:05:37 AM,1/1/2020 2:19:43 AM,1,1.9,No,224,68,10.5,2
1/1/2020 2:05:37 AM,1/1/2020 2:19:43 AM,1,1.9,No,224,68,10.5,2
1/1/2020 12:21:10 AM,1/1/2020 12:22:39 AM,1,0.33,No,146,146,-3.5,0
1/1/2020 12:21:10 AM,1/1/2020 12:22:39 AM,1,0.33,No,146,146,0,0
1/1/2020 12:13:40 AM,1/1/2020 12:31:14 AM,2,2.41,No,246,249,-13,0
1/1/2020 12:13:40 AM,1/1/2020 12:31:14 AM,2,2.41,No,246,249,13,0
1/1/2020 12:21:37 AM,1/1/2020 12:27:07 AM,3,0.72,No,68,113,-5.5,0
1/1/2020 12:21:37 AM,1/1/2020 12:27:07 AM,3,0.72,No,68,113,5.5,0
1/1/2020 12:34:49 AM,1/1/2020 12:57:39 AM,2,2.93,No,142,164,-16.5,0
1/1/2020 12:34:49 AM,1/1/2020 12:57:39 AM,2,2.93,No,142,164,16.5,0
1/1/2020 12:48:57 AM,1/1/2020 12:52:37 AM,1,0.2,No,141,141,-4,0
1/1/2020 12:48:57 AM,1/1/2020 12:52:37 AM,1,0.2,No,141,141,4,0
1/1/2020 12:38:08 AM,1/1/2020 12:39:21 AM,1,0.09,No,237,237,-3,0
1/1/2020 12:38:08 AM,1/1/2020 12:39:21 AM,1,0.09,No,237,237,3,0
1/1/2020 12:26:07 AM,1/1/2020 12:31:29 AM,1,0.91,No,234,114,-5.5,0
1/1/2020 12:26:07 AM,1/1/2020 12:31:29 AM,1,0.91,No,234,114,5.5,0
1/1/2020 12:49:08 AM,1/1/2020 12:52:54 AM,1,0.02,No,164,164,-4,0
1/1/2020 12:49:08 AM,1/1/2020 12:52:54 AM,1,0.02,No,164,164,4,0
1/1/2020 12:44:31 AM,1/1/2020 12:45:05 AM,1,0.06,No,68,90,-2.5,0
1/1/2020 12:44:31 AM,1/1/2020 12:45:05 AM,1,0.06,No,68,90,2.5,0
1/1/2020 12:46:56 AM,1/1/2020 12:59:16 AM,1,2.33,No,87,249,-10.5,0
1/1/2020 12:46:56 AM,1/1/2020 12:59:16 AM,1,2.33,No,87,249,10.5,0
1/1/2020 1:35:35 AM,1/1/2020 1:44:55 AM,2,1.49,No,158,211,8,2.95
1/1/2020 1:35:35 AM,1/1/2020 1:44:55 AM,2,1.49,No,158,211,8,2.95
1/1/2020 12:18:30 AM,1/1/2020 12:21:27 AM,1,0.25,No,107,164,-4,0
1/1/2020 12:18:30 AM,1/1/2020 12:21:27 AM,1,0.25,No,107,164,4,0
1/1/2020 12:35:41 AM,1/1/2020 12:46:53 AM,1,0.3,No,161,161,7.5,0
1/1/2020 12:35:41 AM,1/1/2020 12:46:53 AM,1,1.2,No,249,79,8.5,2.45
1/1/2020 12:41:11 AM,1/1/2020 12:48:14 AM,1,1.71,No,148,107,8,0
1/1/2020 12:41:11 AM,1/1/2020 12:48:14 AM,1,0.3,No,48,48,-6,0
1/1/2020 12:41:11 AM,1/1/2020 12:48:14 AM,1,0.3,No,48,48,6,0
12/31/2019 11:26:25 PM,12/31/2019 11:27:57 PM,2,0.17,No,162,163,-3,0
12/31/2019 11:26:25 PM,12/31/2019 11:27:57 PM,2,0.17,No,162,163,3,0
1/1/2020 12:30:31 AM,1/1/2020 12:30:46 AM,1,0.01,No,239,239,-2.5,0
